index,content
0,
1,
2,"Ещё не смотрел, всё ждал когда все серии выйдут. Когда будет свободное время может посмотрю
 
Я так понял там события развиваются во времена Старой республики учитывая что Йода ещё малыш а в фильме ему уже не одна сотня лет"
3,"Да во времена старой республики. Где то читал, что создатели сериала заявляют, что это не Йода, просто такой же расы. Но как то слабо верится, если ему в сериале мандалорец говорят около 50 лет, то как раз все сходится, что это Йода"
4,Он мог его зубами разорвать))
5,"В тройке!
Спасибо вам lostfilm за вашу работу. Вы лучшие!"
6,Лучшие! Спасибо! Посмотрели только сегодня. Ждали озвучки Лоста.
7,Браво LOSTFilm!!!
8,ЛОСТ СПАСИБО!
9,3
10,Полностью вас поддерживаю....
11,А где ты его скачал? Пожалуйста скинь мне ссылку. Заранее благодарен
12,Я тоже готов 1000 р пожертвовать
13,я)
14,второй?
15,Серьезно? Нельзя скачать в РФ?!
16,"Можно... у меня, по крайней мере, все качается спокойно и без всяких расширений. Браузер гуглХром."
17,frigate работает - качаю без проблем всегда! Просто в список надо этот сайт добавить и всё!
18,Tor Browser
19,"Как считаете, HBO переснимут 8 сезон?"
20,ну само собой.
21,нет
22,Чёрта с два!
23,ссылку
24,или ходоков новых)
25,Мартин это не скажет
26,спасибо за ссылку
27,Христа ради ссылку!
28,https://www.change.org/p/hbo-remake-game-of-thrones-season-8-with-competent-writers
29,ССЫЛКУ РЕБЯТ ПЛИЗ !!!
30,"блин, а в чем проблема? нормально все качает без всяких впн и прокси... все доступно"
31,"спасибо
 "
32,"imenno, присоединяюсь! Или, на худой конец, установите себе Торбраузер или ещё какую хрень наподобие..."
0,
1,ЫЫЫЫЫ
2,Как скачать?
3,как скачать все сезоны плизззз
4,"Одной кнопкой скачать - никак.
Можно только сезонами:
1. http://www.lostfilm.tv/v_search.php?c=145&s=1&e=999
2. http://www.lostfilm.tv/v_search.php?c=145&s=2&e=999
3. http://www.lostfilm.tv/v_search.php?c=145&s=3&e=999
4. http://www.lostfilm.tv/v_search.php?c=145&s=4&e=999
5. http://www.lostfilm.tv/v_search.php?c=145&s=5&e=999
6. http://www.lostfilm.tv/v_search.php?c=145&s=6&e=999
7. http://www.lostfilm.tv/v_search.php?c=145&s=7&e=999
8. http://www.lostfilm.tv/v_search.php?c=145&s=8&e=999"
5,Спасибо
6,где HD ?
7,уже все есть
8,Ждемс ссылки от Великих людей!
9,Спасибо
10,Спасибо
11,СПС!
12,Лютое говнище
13,Найлютище говную!!!)
14,"Местами,общая 8,3 балла,но никак не 1."
15,"Жаль, первые три сезона хороши"
16,ссылку дайте мужыки
17,Пошел в пизду
18,"Если ссылка не доступна,то воспользуйтесь ВПН. Он встроен в браузер Opera."
19,"так их, козлов)"
20,"http://a.retre.org/share/?sdr=619926c4732b3b600d049ca7948d4a7d&c=145&s=8&e=6&u=2688564&n=1&newbie=
Ссылка на файл"
